,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
658,gRNA_10969,2533.0,662.0,7285.0,593.0,348.0,1343.0,500.0,134.0,2293.0,98.0,130.0,347.0,3556.0
659,gRNA_10971,2018.0,754.0,6606.0,313.0,209.0,418.0,362.0,32.0,292.0,16.0,77.0,83.0,1262.0
661,gRNA_11071,1891.0,622.0,7613.0,392.0,403.0,953.0,302.0,80.0,697.0,113.0,121.0,229.0,2334.0
675,gRNA_11223,5773.0,2238.0,23727.0,731.0,716.0,2734.0,1174.0,185.0,1247.0,425.0,216.0,394.0,7491.0
676,gRNA_11284,375.0,146.0,1822.0,256.0,144.0,735.0,117.0,49.0,142.0,181.0,112.0,93.0,1108.0
677,gRNA_11285,607.0,201.0,2811.0,114.0,87.0,239.0,117.0,31.0,247.0,68.0,11.0,55.0,916.0
678,gRNA_11305,1190.0,368.0,3821.0,220.0,221.0,408.0,129.0,19.0,767.0,18.0,124.0,70.0,1530.0
679,gRNA_11315,210.0,41.0,595.0,65.0,36.0,149.0,24.0,9.0,19.0,3.0,2.0,9.0,404.0
680,gRNA_11324,2126.0,568.0,6365.0,389.0,515.0,910.0,455.0,66.0,1607.0,92.0,118.0,157.0,2801.0
709,gRNA_11607,1653.0,441.0,6249.0,411.0,365.0,1223.0,353.0,62.0,2649.0,140.0,155.0,112.0,3232.0
710,gRNA_11608,2824.0,858.0,11824.0,497.0,362.0,1599.0,327.0,90.0,266.0,148.0,93.0,127.0,2772.0
711,gRNA_11670,1240.0,397.0,4119.0,170.0,160.0,263.0,132.0,25.0,147.0,41.0,42.0,66.0,1259.0
712,gRNA_11798,970.0,275.0,4546.0,202.0,111.0,988.0,135.0,21.0,87.0,22.0,25.0,37.0,1878.0
731,gRNA_12024,3563.0,1241.0,11259.0,297.0,266.0,703.0,198.0,48.0,221.0,46.0,48.0,101.0,2819.0
732,gRNA_12026,6839.0,2605.0,34937.0,351.0,239.0,1340.0,323.0,62.0,520.0,18.0,80.0,99.0,2539.0
733,gRNA_12164,1480.0,443.0,5885.0,305.0,187.0,1958.0,327.0,66.0,493.0,85.0,376.0,81.0,2422.0
734,gRNA_12197,3182.0,859.0,12461.0,596.0,422.0,1782.0,350.0,92.0,947.0,171.0,240.0,169.0,4758.0
735,gRNA_12271,3111.0,838.0,12665.0,474.0,296.0,978.0,359.0,105.0,410.0,114.0,170.0,195.0,4254.0
736,gRNA_12272,5675.0,1513.0,20619.0,651.0,679.0,1599.0,587.0,88.0,675.0,181.0,145.0,202.0,5398.0
742,gRNA_12386,4731.0,1774.0,19385.0,741.0,879.0,2686.0,746.0,148.0,1631.0,233.0,168.0,299.0,5325.0
760,gRNA_12523,2348.0,863.0,7743.0,446.0,445.0,1076.0,372.0,118.0,738.0,136.0,116.0,224.0,3399.0
768,gRNA_12536,2836.0,821.0,8534.0,487.0,529.0,1231.0,481.0,74.0,1032.0,144.0,65.0,123.0,3061.0
777,gRNA_12548,1260.0,364.0,5613.0,110.0,77.0,217.0,107.0,25.0,141.0,27.0,17.0,84.0,988.0
784,gRNA_12556,2086.0,738.0,7357.0,758.0,820.0,1906.0,819.0,150.0,888.0,140.0,479.0,515.0,3153.0
785,gRNA_12558,4332.0,1126.0,17768.0,343.0,551.0,1106.0,322.0,65.0,747.0,233.0,76.0,156.0,4067.0
791,gRNA_12567,3094.0,940.0,10943.0,584.0,608.0,1349.0,710.0,58.0,485.0,152.0,89.0,192.0,3990.0
800,gRNA_12579,923.0,374.0,5001.0,135.0,212.0,661.0,237.0,19.0,123.0,51.0,67.0,75.0,1508.0
801,gRNA_12580,1334.0,461.0,5888.0,204.0,213.0,645.0,286.0,32.0,448.0,97.0,52.0,72.0,1717.0
802,gRNA_12583,1751.0,519.0,6993.0,189.0,127.0,414.0,131.0,57.0,162.0,57.0,37.0,103.0,2085.0
803,gRNA_12592,868.0,375.0,4115.0,334.0,431.0,901.0,272.0,38.0,3991.0,63.0,73.0,131.0,2185.0
806,gRNA_12597,3028.0,767.0,8879.0,451.0,356.0,970.0,216.0,65.0,860.0,47.0,80.0,121.0,3311.0
807,gRNA_12601,1615.0,504.0,4620.0,412.0,412.0,1428.0,313.0,69.0,785.0,68.0,294.0,389.0,2489.0
808,gRNA_12602,10544.0,4077.0,42264.0,1226.0,969.0,2555.0,966.0,169.0,1453.0,520.0,309.0,643.0,7916.0
810,gRNA_12604,7858.0,2411.0,31012.0,345.0,312.0,1634.0,338.0,32.0,464.0,72.0,76.0,78.0,2103.0
834,gRNA_12652,3630.0,1126.0,15930.0,502.0,716.0,1932.0,690.0,87.0,2067.0,101.0,218.0,639.0,4464.0
835,gRNA_12831,2415.0,827.0,9116.0,284.0,344.0,824.0,356.0,78.0,778.0,126.0,93.0,138.0,3018.0
844,gRNA_13011,3347.0,907.0,13507.0,230.0,252.0,461.0,137.0,44.0,409.0,44.0,39.0,129.0,2228.0
849,gRNA_13599,1773.0,597.0,7644.0,152.0,101.0,644.0,244.0,44.0,160.0,93.0,36.0,145.0,1690.0
850,gRNA_13600,3098.0,1196.0,13465.0,492.0,571.0,1293.0,489.0,106.0,728.0,428.0,54.0,250.0,3695.0
851,gRNA_13601,2351.0,830.0,12571.0,584.0,678.0,2096.0,670.0,85.0,859.0,150.0,170.0,303.0,4531.0
852,gRNA_13602,2576.0,654.0,12189.0,343.0,357.0,486.0,247.0,58.0,306.0,123.0,84.0,178.0,3436.0
853,gRNA_13603,1955.0,571.0,7095.0,588.0,335.0,657.0,288.0,246.0,363.0,60.0,61.0,124.0,3479.0
854,gRNA_13604,3795.0,1250.0,15432.0,664.0,646.0,2081.0,649.0,108.0,744.0,225.0,324.0,455.0,6035.0
855,gRNA_13605,734.0,194.0,1960.0,107.0,44.0,114.0,83.0,20.0,97.0,15.0,22.0,47.0,1244.0
856,gRNA_13606,12168.0,3854.0,44679.0,1369.0,1649.0,4499.0,1373.0,349.0,2946.0,225.0,529.0,1032.0,10489.0
857,gRNA_13607,10989.0,4028.0,46479.0,1550.0,1246.0,4298.0,1144.0,271.0,3699.0,358.0,618.0,608.0,10771.0
858,gRNA_13608,2212.0,1130.0,10509.0,455.0,360.0,1504.0,383.0,56.0,461.0,45.0,98.0,349.0,2060.0
1200,gRNA_14579,2254.0,883.0,10375.0,451.0,354.0,981.0,355.0,66.0,684.0,60.0,78.0,165.0,3227.0
1201,gRNA_14580,1949.0,667.0,9167.0,390.0,266.0,1338.0,472.0,95.0,1003.0,91.0,135.0,287.0,2541.0
1202,gRNA_14581,1446.0,400.0,6330.0,406.0,215.0,1395.0,329.0,76.0,399.0,153.0,62.0,193.0,2806.0
1203,gRNA_14582,832.0,260.0,4782.0,242.0,274.0,1497.0,323.0,41.0,550.0,71.0,47.0,105.0,1862.0
1204,gRNA_14583,120.0,33.0,432.0,91.0,75.0,237.0,117.0,20.0,31.0,38.0,46.0,36.0,594.0
1205,gRNA_14584,3877.0,820.0,9782.0,242.0,253.0,1015.0,305.0,51.0,519.0,69.0,64.0,181.0,2542.0
1206,gRNA_14585,2608.0,618.0,10276.0,350.0,311.0,1520.0,448.0,63.0,607.0,100.0,192.0,148.0,2845.0
1207,gRNA_14586,4303.0,1369.0,16464.0,762.0,557.0,2192.0,683.0,149.0,1086.0,294.0,154.0,304.0,5490.0
1208,gRNA_14587,1939.0,597.0,7036.0,233.0,139.0,899.0,228.0,60.0,423.0,152.0,49.0,91.0,1822.0
1209,gRNA_14588,8108.0,3358.0,37637.0,855.0,733.0,1790.0,824.0,125.0,1743.0,459.0,184.0,373.0,4922.0
1210,gRNA_14589,2014.0,592.0,8087.0,240.0,310.0,701.0,167.0,30.0,408.0,55.0,36.0,83.0,1716.0
1211,gRNA_14590,1772.0,534.0,9154.0,332.0,308.0,1426.0,315.0,90.0,966.0,59.0,139.0,53.0,1413.0
1212,gRNA_14591,6439.0,1922.0,21902.0,552.0,758.0,1042.0,365.0,134.0,579.0,181.0,140.0,442.0,4450.0
1213,gRNA_14592,7.0,2.0,65.0,7.0,5.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,34.0
1214,gRNA_14593,2383.0,1078.0,13218.0,523.0,613.0,2379.0,488.0,80.0,686.0,107.0,121.0,199.0,3619.0
1215,gRNA_14594,631.0,202.0,2530.0,158.0,181.0,613.0,193.0,31.0,241.0,269.0,47.0,81.0,1058.0
1216,gRNA_14595,2551.0,837.0,8865.0,697.0,545.0,1634.0,592.0,195.0,2633.0,67.0,169.0,389.0,4136.0
1217,gRNA_14596,1554.0,504.0,6575.0,632.0,606.0,1510.0,382.0,91.0,850.0,142.0,382.0,258.0,4355.0
1278,gRNA_14657,8225.0,2511.0,33258.0,965.0,1229.0,3112.0,828.0,245.0,972.0,267.0,380.0,669.0,9809.0
1279,gRNA_14658,11641.0,4214.0,57839.0,1737.0,1729.0,4359.0,1455.0,232.0,2565.0,477.0,702.0,1038.0,14275.0
