,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen3,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
760,gRNA_12523,1131.0,610.0,162.0,651.0,413.0,526.0,4122.0,738.0,339.0,937.0,1218.0,785.0,952.0,3399.0
768,gRNA_12536,1309.0,892.0,219.0,477.0,276.0,283.0,3433.0,935.0,295.0,1050.0,535.0,783.0,908.0,3061.0
777,gRNA_12548,487.0,288.0,61.0,75.0,53.0,86.0,839.0,110.0,52.0,325.0,213.0,111.0,107.0,988.0
784,gRNA_12556,1114.0,655.0,171.0,986.0,624.0,861.0,9087.0,1033.0,582.0,1875.0,1166.0,1183.0,859.0,3153.0
785,gRNA_12558,1896.0,1467.0,369.0,462.0,409.0,589.0,4593.0,622.0,362.0,1403.0,1031.0,636.0,605.0,4067.0
791,gRNA_12567,1025.0,507.0,146.0,714.0,363.0,392.0,4054.0,802.0,380.0,1335.0,1178.0,993.0,834.0,3990.0
800,gRNA_12579,400.0,484.0,78.0,206.0,286.0,269.0,2121.0,350.0,315.0,742.0,404.0,322.0,257.0,1508.0
801,gRNA_12580,789.0,499.0,113.0,409.0,263.0,249.0,3120.0,392.0,172.0,838.0,514.0,647.0,346.0,1717.0
802,gRNA_12583,374.0,300.0,54.0,100.0,89.0,116.0,816.0,185.0,69.0,824.0,367.0,203.0,213.0,2085.0
803,gRNA_12592,578.0,592.0,71.0,479.0,402.0,493.0,2276.0,300.0,330.0,471.0,818.0,263.0,371.0,2185.0
806,gRNA_12597,981.0,811.0,185.0,392.0,210.0,293.0,3109.0,280.0,415.0,473.0,447.0,483.0,346.0,3311.0
807,gRNA_12601,648.0,402.0,124.0,457.0,318.0,337.0,4210.0,606.0,319.0,1048.0,855.0,654.0,196.0,2489.0
808,gRNA_12602,1853.0,1679.0,253.0,1342.0,934.0,1312.0,9293.0,1309.0,864.0,2538.0,2228.0,1509.0,1509.0,7916.0
810,gRNA_12604,2026.0,1210.0,289.0,532.0,280.0,214.0,4018.0,645.0,293.0,1610.0,561.0,624.0,553.0,2103.0
834,gRNA_12652,1339.0,598.0,200.0,597.0,445.0,726.0,6061.0,963.0,495.0,749.0,1847.0,872.0,1683.0,4464.0
835,gRNA_12831,956.0,565.0,166.0,500.0,355.0,462.0,5165.0,671.0,186.0,794.0,580.0,506.0,280.0,3018.0
844,gRNA_13011,724.0,620.0,155.0,261.0,448.0,139.0,1200.0,152.0,58.0,391.0,213.0,261.0,172.0,2228.0
849,gRNA_13599,294.0,304.0,71.0,101.0,64.0,123.0,1249.0,126.0,55.0,255.0,173.0,76.0,72.0,1690.0
850,gRNA_13600,1305.0,712.0,203.0,625.0,340.0,520.0,4307.0,568.0,311.0,836.0,921.0,365.0,332.0,3695.0
